State,City,shr_actual,shr_cleared,ra_actual,ra_cleared,agency_years,ratio_actual,q_shr,q_ra,d
Alabama,Lowndes,45,39,45.0,29.0,21,1.0,0.8666666666666667,0.6444444444444445,-0.2222222222222222
Alabama,Macon,113,86,115.0,63.0,46,0.9826086956521739,0.7610619469026548,0.5478260869565217,-0.21323585994613314
Alabama,Madison,531,456,522.0,354.0,66,1.0172413793103448,0.8587570621468926,0.6781609195402298,-0.1805961426066628
Alabama,Marengo,41,37,41.0,27.0,24,1.0,0.9024390243902439,0.6585365853658537,-0.24390243902439024
Alabama,Marion,20,19,20.0,13.0,16,1.0,0.95,0.65,-0.29999999999999993
Alabama,Marshall,93,81,92.0,73.0,56,1.0108695652173914,0.8709677419354839,0.7934782608695652,-0.07748948106591869
Alabama,Morgan,163,133,162.0,117.0,58,1.0061728395061729,0.8159509202453987,0.7222222222222222,-0.09372869802317652
Alabama,Perry,27,24,26.0,14.0,19,1.0384615384615385,0.8888888888888888,0.5384615384615384,-0.3504273504273504
Alabama,Pickens,29,27,29.0,18.0,21,1.0,0.9310344827586207,0.6206896551724138,-0.31034482758620685
Alabama,Pike,53,50,51.0,36.0,34,1.0392156862745099,0.9433962264150944,0.7058823529411765,-0.23751387347391784
Alabama,Russell,138,121,135.0,110.0,47,1.0222222222222221,0.8768115942028986,0.8148148148148148,-0.06199677938808379
Alabama,St. Clair,74,59,74.0,43.0,43,1.0,0.7972972972972973,0.581081081081081,-0.21621621621621623
Alabama,Shelby,110,99,109.0,71.0,63,1.0091743119266054,0.9,0.6513761467889908,-0.24862385321100922
Alabama,Sumter,39,33,39.0,31.0,27,1.0,0.8461538461538461,0.7948717948717948,-0.05128205128205132
Alabama,Talladega,97,76,94.0,63.0,48,1.0319148936170213,0.7835051546391752,0.6702127659574468,-0.11329238868172842
Alabama,Tallapoosa,108,94,104.0,63.0,52,1.0384615384615385,0.8703703703703703,0.6057692307692307,-0.2646011396011396
Alabama,Tuscaloosa,326,275,323.0,166.0,68,1.0092879256965945,0.843558282208589,0.5139318885448917,-0.3296263936636973
Alabama,Walker,61,46,60.0,31.0,40,1.0166666666666666,0.7540983606557377,0.5166666666666667,-0.23743169398907094
Alabama,Washington,11,8,11.0,11.0,8,1.0,0.7272727272727273,1.0,0.2727272727272727
Alabama,Wilcox,41,36,42.0,30.0,22,0.9761904761904762,0.8780487804878049,0.7142857142857143,-0.16376306620209058
Alabama,Winston,10,9,9.0,6.0,9,1.1111111111111112,0.9,0.6666666666666666,-0.2333333333333334
Arkansas,Arkansas,53,44,53.0,40.0,36,1.0,0.8301886792452831,0.7547169811320755,-0.07547169811320753
Arkansas,Ashley,74,70,72.0,1064.0,46,1.0277777777777777,0.9459459459459459,14.777777777777779,13.831831831831833
Arkansas,Benton,103,87,92.0,70.0,65,1.1195652173913044,0.8446601941747572,0.7608695652173914,-0.08379062895736589
Arkansas,Boone,45,41,41.0,31.0,30,1.0975609756097562,0.9111111111111111,0.7560975609756098,-0.15501355013550133
Arkansas,Bradley,36,32,35.0,27.0,26,1.0285714285714285,0.8888888888888888,0.7714285714285715,-0.11746031746031738
Arkansas,Calhoun,20,20,19.0,18.0,15,1.0526315789473684,1.0,0.9473684210526315,-0.052631578947368474
Arkansas,Chicot,67,65,65.0,57.0,47,1.0307692307692307,0.9701492537313433,0.8769230769230769,-0.09322617680826639
Arkansas,Clark,29,24,28.0,19.0,22,1.0357142857142858,0.8275862068965517,0.6785714285714286,-0.1490147783251231
Arkansas,Clay,18,18,17.0,18.0,13,1.0588235294117647,1.0,1.0588235294117647,0.05882352941176472
Arkansas,Columbia,95,84,92.0,82.0,43,1.0326086956521738,0.8842105263157894,0.8913043478260869,0.007093821510297471
Arkansas,Conway,49,42,48.0,37.0,29,1.0208333333333333,0.8571428571428571,0.7708333333333334,-0.08630952380952372
Arkansas,Craighead,136,122,135.0,116.0,53,1.0074074074074073,0.8970588235294118,0.8592592592592593,-0.03779956427015252
Arkansas,Crawford,52,47,51.0,44.0,31,1.0196078431372548,0.9038461538461539,0.8627450980392157,-0.041101055806938125
Arkansas,Crittenden,322,275,316.0,258.0,69,1.018987341772152,0.8540372670807453,0.8164556962025317,-0.03758157087821368
Arkansas,Drew,47,41,44.0,37.0,31,1.0681818181818181,0.8723404255319149,0.8409090909090909,-0.03143133462282399
