State,City,mean_Black,mean_White,size_Black,size_White,min_race_n,gap_pp,weight
North Carolina,Guilford,0.6891891891891891,0.627906976744186,222.0,86.0,10,6.12822124450031,308.0
North Carolina,Harnett,0.8571428571428571,0.782608695652174,14.0,23.0,10,7.453416149068315,37.0
North Carolina,Iredell,0.45454545454545453,0.7619047619047619,11.0,21.0,10,-30.735930735930733,32.0
North Carolina,Johnston,0.6153846153846154,0.5882352941176471,26.0,17.0,10,2.714932126696834,43.0
North Carolina,Lee,0.5714285714285714,0.8571428571428571,14.0,14.0,10,-28.57142857142857,28.0
North Carolina,Mecklenburg,0.6303501945525292,0.5707547169811321,514.0,212.0,10,5.959547757139704,726.0
North Carolina,Nash,0.6896551724137931,0.6153846153846154,29.0,13.0,10,7.427055702917773,42.0
North Carolina,New Hanover,0.6981132075471698,0.5945945945945946,53.0,37.0,10,10.351861295257514,90.0
North Carolina,Onslow,0.5833333333333334,0.5714285714285714,12.0,21.0,10,1.1904761904761973,33.0
North Carolina,Pitt,0.7647058823529411,0.5882352941176471,34.0,17.0,10,17.647058823529406,51.0
North Carolina,Richmond,0.5384615384615384,0.4666666666666667,13.0,15.0,10,7.179487179487176,28.0
North Carolina,Robeson,0.5,0.6226415094339622,48.0,53.0,10,-12.264150943396224,101.0
North Carolina,Rockingham,0.4117647058823529,0.47368421052631576,17.0,19.0,10,-6.191950464396284,36.0
North Carolina,Rowan,0.5666666666666667,0.48,30.0,25.0,10,8.666666666666668,55.0
North Carolina,Sampson,0.7272727272727273,0.85,22.0,20.0,10,-12.272727272727268,42.0
North Carolina,Scotland,0.7142857142857143,0.6923076923076923,14.0,13.0,10,2.197802197802201,27.0
North Carolina,Union,0.5,0.7647058823529411,10.0,17.0,10,-26.470588235294112,27.0
North Carolina,Vance,0.78125,0.6666666666666666,32.0,12.0,10,11.458333333333337,44.0
North Carolina,Wake,0.5138888888888888,0.5,72.0,58.0,10,1.388888888888884,130.0
North Carolina,Wayne,0.5,0.72,64.0,25.0,10,-21.999999999999996,89.0
North Carolina,Wilson,0.71875,0.3333333333333333,32.0,15.0,10,38.54166666666667,47.0
Ohio,Allen,0.6666666666666666,0.7,27.0,10.0,10,-3.3333333333333326,37.0
Ohio,Butler,0.8461538461538461,0.6578947368421053,13.0,38.0,10,18.825910931174082,51.0
Ohio,Clark,0.7777777777777778,0.8181818181818182,27.0,33.0,10,-4.040404040404044,60.0
Ohio,Cuyahoga,0.6760700389105059,0.5893416927899686,1028.0,319.0,10,8.672834612053727,1347.0
Ohio,Franklin,0.7372353673723536,0.6962025316455697,803.0,395.0,10,4.103283572678396,1198.0
Ohio,Hamilton,0.6584362139917695,0.581081081081081,486.0,148.0,10,7.735513291068852,634.0
Ohio,Lorain,0.7142857142857143,0.4090909090909091,14.0,22.0,10,30.519480519480517,36.0
Ohio,Lucas,0.5989847715736041,0.5213675213675214,197.0,117.0,10,7.761725020608267,314.0
Ohio,Mahoning,0.6246913580246913,0.4946236559139785,405.0,93.0,10,13.006770211071284,498.0
Ohio,Montgomery,0.38323353293413176,0.4423076923076923,334.0,156.0,10,-5.907415937356053,490.0
Ohio,Stark,0.675,0.6590909090909091,40.0,44.0,10,1.5909090909090984,84.0
Ohio,Summit,0.6055045871559633,0.6923076923076923,109.0,52.0,10,-8.680310515172895,161.0
Ohio,Trumbull,1.0,0.8947368421052632,30.0,19.0,10,10.526315789473683,49.0
Oklahoma,Comanche,0.19047619047619047,0.6086956521739131,21.0,23.0,10,-41.82194616977226,44.0
Oklahoma,Muskogee,0.44,0.5555555555555556,25.0,18.0,10,-11.555555555555557,43.0
Oklahoma,Oklahoma,0.3422222222222222,0.4416058394160584,225.0,274.0,10,-9.93836171938362,499.0
Oklahoma,Tulsa,0.25,0.3105263157894737,164.0,190.0,10,-6.052631578947371,354.0
Oregon,Multnomah,0.2727272727272727,0.3905579399141631,121.0,233.0,10,-11.783066718689039,354.0
Pennsylvania,Allegheny,0.5826193390452876,0.43884892086330934,817.0,139.0,10,14.377041818197828,956.0
